university,career,inscription_date,last_name,gender,birth_date,location,email
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,20-Nov-21,BARBARA_SAVAGE,F,31-Oct-01,ARENAZA,APRILPAYNE@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_MUSICOTERAPIA,20-May-21,ADAM_BEARD,M,16-Nov-98,INDEPENDENCIA,ROBERT64@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ARTES,20-Mar-21,BRETT_BENDER,M,18-Jun-85,ISLA_TIGRE,ANDREWSAMY@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,TÉCNICO_PARA_BIOTERIOS_,20-Nov-19,CATHERINE_SANCHEZ,F,02-May-72,9_DE_ABRIL,VFERGUSON@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,20-Jun-20,ALLISON_MORAN,F,28-Dec-71,COLONIA_SANTA_TERESA,BRIAN85@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,TÉCNICO_PARA_BIOTERIOS_,20-Jun-21,GREGORY_RUSSELL,M,10-Apr-68,CAMPO_SABATE,ANDERSONAMANDA@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,20-Sep-20,ELIZABETH_MORENO,F,28-Jun-06,AGUA_DE_LA_ZORRA,TAYLORLORI@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,20-Oct-21,NICHOLAS_ROSS_JR.,M,23-Sep-74,CAMPO_REDONDO,RMELENDEZ@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,DISEÑO_INDUSTRIAL,20-Aug-20,JOHN_WEST,M,29-Jun-19,ALGARROBO_DEL_AGUILA,MARCUS96@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,CONTADOR_PÚBLICO_,20-May-21,FREDERICK_DOUGLAS,M,25-Aug-71,COLONIA_LOMA_NEGRA,ELIZABETHCOSTA@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,AGRONOMÍA,20-Apr-21,CHRISTOPHER_PATTON,M,28-Dec-99,ALMACEN_EL_DESCANSO,KENNETHHANSEN@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,20-Oct-21,EMILY_WALKER,F,29-Dec-80,AGUADA_GRANDE,BRADLEYKIMBERLY@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,DISEÑO_INDUSTRIAL,20-Oct-19,JONATHAN_MURPHY,M,15-Sep-83,COMODORO_RIVADAVIA,RUSSOLAUREN@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,20-Mar-21,JOHN_THOMPSON,M,25-Sep-49,CAVOUR,FOSTERJAMES@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,20-Mar-21,EMILY_HILL,F,20-Oct-71,ITURRASPE,VALERIE83@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,TÉCNICO_PARA_BIOTERIOS_,20-Jun-20,CHRISTOPHER_ROBINSON,M,20-Oct-26,BAÑOS_PISMANTA,JASMINEMORRISON@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,20-Oct-21,COREY_UNDERWOOD,M,11-Aug-71,LA_PELADA,DARRELL87@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_SOCIOLOGÍA_,20-Sep-20,EDWIN_JACKSON,M,11-Oct-05,CENTINELA,ANDERSONNATALIE@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_EN_INFORMÁTICA,20-May-21,ELIZABETH_MARTIN,F,29-Dec-59,ANGELONI,XDAVID@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,20-Dec-19,CINDY_MCCARTHY,F,18-Nov-14,ANECON_GRANDE,MARKNORRIS@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,ARQUITECTURA,20-Sep-20,MALLORY_VILLARREAL,F,26-Jan-81,AGUARA_CUA,PORTERDAVE@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_MUSICOTERAPIA,20-Nov-19,CHRISTOPHER_JOHNSON,M,25-Mar-86,CHAPI_TALO,PGARCIA@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,20-Dec-21,LEE_ANDREWS,M,26-Mar-39,CAMPO_MAGNIN,MITCHELLREGINALD@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,MEDICINA,20-Apr-20,JOSHUA_BARNETT,M,19-Sep-51,CAMPO_MEDINA,STEPHENSMARK@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_DE_LA_EDUCACIÓN_,20-May-21,TRACY_DIAZ,F,23-Feb-24,ALDAO,ANDREA63@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PRODUCCIÓN_DE_BIOIMAGENES,20-Apr-20,JAMES_FRANK,M,24-Jul-80,ALTO_VERDE,SARAH12@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PSICOLOGÍA,20-Dec-20,COURTNEY_MALONE,F,07-Apr-77,CERANA,JASONADAMS@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_POLÍTICA_,20-Jun-21,DONALD_KELLY,M,27-Nov-85,3_DE_MAYO,THOMASSTEVENS@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,20-Dec-21,MONICA_GRAHAM,F,17-Apr-75,ADOLFO_J_POMAR,WMARTINEZ@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,20-Mar-20,CARL_BROWN,M,23-Sep-07,AGUIRRE_CUE,IGRIFFIN@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,20-May-20,CORY_SMITH,M,13-Sep-84,CHUMBICHA,LORI00@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,20-Jun-20,PATRICIA_HAYES,F,16-May-63,BALDERRAMA,TFULLER@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,20-May-21,BRYAN_OSBORNE,M,12-Jul-58,ALTO_DE_SIERRA,MELISSAREED@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,AGRONOMÍA,20-Mar-20,KAYLA_BRADLEY,F,03-Jul-73,INGENIO_LA_PROVIDENCIA,KEITH08@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ARTES,20-May-20,KRISTEN_RICHARDS,F,14-Feb-67,DIQUE_TOMA,ORODRIGUEZ@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,20-Sep-21,ARTHUR_THOMAS,M,18-May-99,CUCHA_CUCHA,FCHAPMAN@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,20-Jan-20,CHRISTOPHER_NICHOLS,M,15-Apr-81,COLONIA_LOTE_12,JOSEPHJENKINS@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_DE_LA_EDUCACIÓN_,20-Oct-20,JAMES_MENDOZA,M,30-Jul-53,SAN_GERONIMO,KIMBERLY73@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,FARMACIA,20-Mar-21,KAREN_PATEL,F,17-Mar-86,AGUAS_BUENAS,MORGANLEE@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,20-Jun-21,JENNIFER_WALTER,F,04-Nov-78,CHACABUCO,JOSHUABOYD@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,20-Jan-21,STACEY_DURAN,F,11-Apr-97,CAMPO_UBAJO,GREENESTEVEN@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_ELECTRÓNICA,20-Sep-20,CHRISTOPHER_GARCIA,M,12-Aug-23,COLONIA_JAUREGUI,DONNA62@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_POLÍTICA_,20-Apr-20,CRISTINA_PORTER,F,16-May-29,CORRENTOSO,AMANDA24@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_BIOLÓGICAS,20-Apr-21,MICHAEL_KNIGHT,M,19-Nov-21,CACHIYUYAL,NICOLEHARPER@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_ELECTRÓNICA,20-May-20,JOHN_MAY,M,11-Nov-74,INDACOCHEA,CHARLESSIMPSON@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,20-Dec-19,LISA_CUMMINGS,F,13-Feb-63,KILOMETRO_47,COLLINSBREANNA@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ARTES,20-Feb-20,JENNIFER_LE,F,16-May-70,CHAPALEUFU,HAILEY73@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ADMINISTRACIÓN_,20-Jul-21,KATHRYN_PITTS,F,21-Mar-10,ABRA,DSMITH@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,DISEÑO_INDUSTRIAL,20-Dec-19,NATHANIEL_CHANEY,M,09-Jan-12,VILLA_ADELINA,BRADLEY84@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,20-Sep-21,NICHOLAS_HEATH,M,05-Feb-88,COLHUE_HUAPI,UCALDWELL@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_EN_INFORMÁTICA,20-Oct-20,MICHELLE_MEYER,F,17-Jul-09,AGUANGO,MARISAJOHNSON@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,FARMACIA,20-Oct-20,DEBBIE_CHRISTIAN,F,12-Feb-50,ATUEL_SUD,PSMALL@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,20-Jul-21,RHONDA_PETERSON,F,08-Sep-99,CAÑADA_RICA,ETAYLOR@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,20-Nov-20,CINDY_TORRES,F,30-Aug-17,CHICHAGASTA,BENSONJAMES@GMAIL.COM
